	id	prediction
0	DEL00000012	0.0
1	DEL00000018	0.0
2	DEL00000020	1.0
3	DEL00000080	1.0
4	DEL00000114	1.0
5	DEL00000147	1.0
6	DEL00000175	0.0
7	DEL00000216	1.0
8	DEL00000219	1.0
9	DEL00000338	1.0
11	DEL00000373	1.0
12	DEL00000410	0.0
13	DEL00000451	0.0
14	DEL00000473	1.0
15	DEL00000476	1.0
16	DEL00000494	1.0
17	DEL00001483	1.0
18	DEL00001511	1.0
19	DEL00001515	1.0
22	DEL00001556	0.0
23	DEL00001561	1.0
24	DEL00001567	0.0
25	DEL00001579	1.0
26	DEL00001591	1.0
27	DEL00001596	1.0
28	DEL00001597	1.0
29	DEL00001599	1.0
31	DEL00001619	1.0
32	DEL00001669	1.0
33	DEL00001682	1.0
34	DEL00001684	1.0
35	DEL00001700	1.0
36	DEL00001710	1.0
37	DEL00001713	0.0
38	DEL00001714	1.0
39	DEL00001716	1.0
41	DEL00001733	1.0
42	DEL00001735	1.0
43	DEL00001738	1.0
44	DEL00001739	1.0
45	DEL00001743	1.0
46	DEL00001745	1.0
47	DEL00001755	1.0
48	DEL00001759	0.0
49	DEL00001760	1.0
51	DEL00001769	1.0
52	DEL00001779	0.0
53	DEL00001780	1.0
54	DEL00001781	1.0
55	DEL00001803	1.0
56	DEL00001823	0.0
57	DEL00001824	1.0
58	DEL00001826	1.0
59	DEL00001873	1.0
61	DEL00001883	1.0
62	DEL00001884	1.0
63	DEL00001899	0.0
64	DEL00001904	1.0
65	DEL00001917	1.0
66	DEL00001921	1.0
67	DEL00001924	1.0
68	DEL00001925	1.0
69	DEL00001936	0.0
71	DEL00001944	1.0
72	DEL00001946	1.0
73	DEL00001949	0.0
74	DEL00001952	1.0
75	DEL00001956	1.0
76	DEL00001966	1.0
77	DEL00001996	1.0
78	DEL00002003	1.0
79	DEL00002006	1.0
81	DEL00002024	1.0
82	DEL00002025	1.0
83	DEL00002026	1.0
84	DEL00002029	1.0
85	DEL00002031	1.0
86	DEL00002039	1.0
87	DEL00002041	1.0
88	DEL00002049	1.0
89	DEL00002050	1.0
91	DEL00002052	1.0
92	DEL00002069	1.0
93	DEL00002072	1.0
94	DEL00002080	1.0
95	DEL00002083	1.0
96	DEL00002098	1.0
97	DEL00002108	1.0
98	DEL00002116	1.0
99	DEL00002122	1.0
101	DEL00002124	1.0
102	DEL00002127	1.0
103	DEL00002130	1.0
104	DEL00002138	1.0
105	DEL00002140	1.0
106	DEL00002143	1.0
107	DEL00002145	1.0
108	DEL00002157	1.0
109	DEL00002165	1.0
111	DEL00002198	1.0
112	DEL00002209	0.0
113	DEL00002212	1.0
114	DEL00002214	1.0
115	DEL00002216	1.0
116	DEL00002219	1.0
117	DEL00002248	1.0
118	DEL00002251	1.0
119	DEL00002258	0.0
121	DEL00002261	1.0
122	DEL00002263	1.0
123	DEL00002270	1.0
124	DEL00002278	1.0
125	DEL00002279	1.0
126	DEL00002280	1.0
127	DEL00002282	1.0
128	DEL00002283	1.0
129	DEL00002286	0.0
131	DEL00002289	1.0
132	DEL00002290	1.0
133	DEL00002298	0.0
134	DEL00002313	1.0
135	DEL00002403	1.0
136	DEL00002419	1.0
137	DEL00002433	1.0
138	DEL00002437	1.0
139	DEL00002445	1.0
140	DEL00002447	1.0
141	DEL00002450	1.0
142	DEL00002452	1.0
143	DEL00002459	1.0
144	DEL00002462	1.0
145	DEL00002471	1.0
146	DEL00002478	1.0
147	DEL00002479	1.0
148	DEL00002484	0.0
149	DEL00002486	1.0
150	DEL00002492	1.0
151	DEL00002505	1.0
152	DEL00002516	1.0
153	DEL00002528	1.0
154	DEL00002531	1.0
155	DEL00002534	1.0
156	DEL00002536	1.0
157	DEL00002569	1.0
158	DEL00002571	0.0
159	DEL00002574	1.0
161	DEL00002586	1.0
162	DEL00002587	1.0
163	DEL00002589	1.0
164	DEL00002619	1.0
165	DEL00002621	1.0
166	DEL00002623	1.0
167	DEL00002624	1.0
168	DEL00002625	1.0
169	DEL00002626	1.0
171	DEL00002639	1.0
172	DEL00002640	0.0
173	DEL00002642	0.0
174	DEL00002643	1.0
175	DEL00002652	0.0
176	DEL00002653	1.0
177	DEL00002654	1.0
178	DEL00002669	1.0
179	DEL00002672	1.0
182	DEL00002677	1.0
183	DEL00002682	1.0
184	DEL00002687	0.0
185	DEL00002691	1.0
186	DEL00002694	1.0
187	DEL00002697	0.0
188	DEL00002698	1.0
189	DEL00002701	1.0
191	DEL00002713	1.0
192	DEL00002714	1.0
193	DEL00002715	1.0
194	DEL00002720	1.0
195	DEL00002726	1.0
196	DEL00002728	1.0
197	DEL00002739	1.0
198	DEL00002744	1.0
199	DEL00002750	1.0
201	DEL00002762	1.0
202	DEL00002768	1.0
203	DEL00002770	1.0
204	DEL00002777	1.0
205	DEL00002779	1.0
206	DEL00002780	1.0
207	DEL00002784	1.0
208	DEL00002788	1.0
209	DEL00002790	1.0
211	DEL00002817	1.0
212	DEL00002847	1.0
213	DEL00002848	1.0
214	DEL00002860	1.0
215	DEL00002869	1.0
216	DEL00002872	1.0
217	DEL00002875	1.0
218	DEL00002877	1.0
219	DEL00002882	0.0
221	DEL00002901	1.0
222	DEL00002902	1.0
223	DEL00002913	1.0
224	DEL00002922	1.0
225	DEL00002923	1.0
226	DEL00002924	0.0
227	DEL00002947	1.0
228	DEL00002949	1.0
229	DEL00002962	0.0
231	DEL00002978	1.0
232	DEL00002995	1.0
233	DEL00002998	1.0
234	DEL00003003	1.0
235	DEL00003009	1.0
236	DEL00003011	1.0
237	DEL00003016	0.0
238	DEL00003025	1.0
239	DEL00003027	1.0
242	DEL00003065	1.0
243	DEL00003084	1.0
244	DEL00003096	1.0
245	DEL00003098	1.0
246	DEL00003109	1.0
247	DEL00003110	0.0
248	DEL00003116	1.0
249	DEL00003118	1.0
251	DEL00003129	1.0
252	DEL00003131	1.0
253	DEL00003132	1.0
254	DEL00003134	1.0
255	DEL00003135	1.0
256	DEL00003177	1.0
257	DEL00003181	1.0
258	DEL00003183	1.0
259	DEL00003186	1.0
261	DEL00003204	1.0
262	DEL00003208	0.0
263	DEL00003209	1.0
264	DEL00003215	1.0
265	DEL00003218	1.0
266	DEL00003222	1.0
267	DEL00003225	1.0
268	DEL00003230	0.0
269	DEL00003249	1.0
271	DEL00003258	0.0
272	DEL00003281	1.0
273	DEL00003286	1.0
274	DEL00003290	1.0
275	DEL00003304	1.0
276	DEL00003307	1.0
277	DEL00003323	1.0
278	DEL00003325	1.0
279	DEL00003341	1.0
281	DEL00003364	1.0
282	DEL00003365	1.0
283	DEL00003376	1.0
284	DEL00003386	1.0
285	DEL00003405	1.0
286	DEL00003411	1.0
287	DEL00003418	1.0
288	DEL00003419	1.0
289	DEL00003425	1.0
292	DEL00003444	1.0
293	DEL00003471	1.0
294	DEL00003475	1.0
295	DEL00003506	0.0
296	DEL00003512	0.0
297	DEL00003514	1.0
298	DEL00003523	1.0
299	DEL00003524	1.0
301	DEL00003533	1.0
302	DEL00003535	1.0
303	DEL00003536	1.0
304	DEL00003539	1.0
305	DEL00003540	1.0
306	DEL00003559	1.0
307	DEL00003561	1.0
308	DEL00003567	0.0
309	DEL00003570	1.0
311	DEL00003584	1.0
312	DEL00003601	1.0
313	DEL00003603	1.0
314	DEL00003616	0.0
315	DEL00003617	1.0
316	DEL00003620	0.0
317	DEL00003623	1.0
318	DEL00003639	1.0
319	DEL00003661	1.0
320	DEL00003664	1.0
321	DEL00003666	1.0
322	DEL00003670	1.0
323	DEL00003677	1.0
324	DEL00003684	1.0
325	DEL00003689	1.0
326	DEL00003703	1.0
327	DEL00003710	0.0
328	DEL00003715	1.0
329	DEL00003716	1.0
332	DEL00003735	1.0
333	DEL00003738	1.0
334	DEL00003746	1.0
335	DEL00003750	1.0
336	DEL00003751	1.0
337	DEL00003755	1.0
338	DEL00003762	1.0
339	DEL00003764	1.0
341	DEL00003772	1.0
342	DEL00003773	0.0
343	DEL00003786	1.0
344	DEL00003790	1.0
345	DEL00003802	1.0
346	DEL00003803	1.0
347	DEL00003808	1.0
348	DEL00003819	1.0
349	DEL00003820	0.0
351	DEL00003834	1.0
352	DEL00003839	1.0
353	DEL00003844	1.0
354	DEL00003852	1.0
355	DEL00003854	1.0
356	DEL00003877	1.0
357	DEL00003878	1.0
358	DEL00003881	1.0
359	DEL00003884	1.0
361	DEL00003889	1.0
362	DEL00003892	1.0
363	DEL00003894	0.0
364	DEL00003912	1.0
365	DEL00003916	1.0
366	DEL00003920	1.0
367	DEL00003921	0.0
368	DEL00003922	1.0
369	DEL00003924	1.0
370	DEL00003926	1.0
371	DEL00003930	0.0
372	DEL00003936	1.0
373	DEL00003939	1.0
374	DEL00003940	1.0
375	DEL00003949	1.0
376	DEL00003951	1.0
377	DEL00003964	1.0
378	DEL00003974	1.0
379	DEL00003978	1.0
380	DEL00003980	1.0
381	DEL00003981	1.0
382	DEL00003982	1.0
383	DEL00003991	1.0
384	DEL00004002	1.0
385	DEL00004003	1.0
386	DEL00004017	1.0
387	DEL00004019	0.0
388	DEL00004026	1.0
389	DEL00004031	1.0
390	DEL00004035	1.0
391	DEL00004041	1.0
392	DEL00004053	1.0
393	DEL00004056	1.0
394	DEL00004060	1.0
395	DEL00004067	1.0
396	DEL00004068	1.0
397	DEL00004069	1.0
398	DEL00004074	1.0
399	DEL00004082	1.0
401	DEL00004109	1.0
402	DEL00004111	1.0
403	DEL00004121	1.0
404	DEL00004122	0.0
405	DEL00004134	0.0
406	DEL00004136	1.0
407	DEL00004137	1.0
408	DEL00004141	1.0
409	DEL00004144	1.0
411	DEL00004160	1.0
412	DEL00004162	0.0
413	DEL00004168	1.0
414	DEL00004171	1.0
415	DEL00004181	1.0
416	DEL00004193	1.0
417	DEL00004194	1.0
418	DEL00004198	1.0
419	DEL00004202	0.0
421	DEL00004232	1.0
422	DEL00004237	1.0
423	DEL00004240	1.0
424	DEL00004246	1.0
425	DEL00004263	1.0
426	DEL00004270	1.0
427	DEL00004273	1.0
428	DEL00004275	1.0
429	DEL00004280	1.0
431	DEL00004285	1.0
432	DEL00004288	1.0
433	DEL00004296	1.0
434	DEL00004299	0.0
435	DEL00004301	1.0
436	DEL00004307	0.0
437	DEL00004312	1.0
438	DEL00004313	1.0
439	DEL00004326	0.0
441	DEL00004345	1.0
442	DEL00004346	1.0
443	DEL00004347	1.0
444	DEL00004349	1.0
445	DEL00004367	0.0
446	DEL00004371	1.0
447	DEL00004373	1.0
448	DEL00004374	1.0
449	DEL00004375	0.0
451	DEL00004379	1.0
452	DEL00004380	0.0
453	DEL00004388	1.0
454	DEL00004419	1.0
455	DEL00004422	1.0
456	DEL00004430	1.0
